,ticker,name,sector,asset_class,market_value,weight,notional_value,shares,price,location,exchange,currency,fx_rate,market_currency,accrual_date,etfname,date
6742,BDEV,BARRATT DEVELOPMENTS,Consumer Discretionary,Equity,"20,005,280.15",0.04,"20,005,280.15","3,056,067.00",6.55,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6743,4689,LY CORP,Communication,Equity,"19,987,167.95",0.04,"19,987,167.95","8,445,622.00",2.37,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6744,SKA B,SKANSKA B,Industrials,Equity,"19,991,163.39",0.04,"19,991,163.39","1,085,693.00",18.41,Sweden,Nasdaq Omx Nordic,USD,10.30,SEK,-,EFA,20240612
6745,ELE,ENDESA SA,Utilities,Equity,"19,983,880.72",0.04,"19,983,880.72","1,002,316.00",19.94,Spain,Bolsa De Madrid,USD,0.92,EUR,-,EFA,20240612
6746,LEG,LEG IMMOBILIEN N,Real Estate,Equity,"19,910,286.62",0.04,"19,910,286.62","236,469.00",84.20,Germany,Xetra,USD,0.92,EUR,-,EFA,20240612
6747,DSCT,ISRAEL DISCOUNT BANK LTD,Financials,Equity,"19,891,941.78",0.04,"19,891,941.78","3,947,073.00",5.04,Israel,Tel Aviv Stock Exchange,USD,3.69,ILS,-,EFA,20240612
6748,9697,CAPCOM LTD,Communication,Equity,"19,766,321.13",0.04,"19,766,321.13","1,087,200.00",18.18,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6749,ADEN,ADECCO GROUP AG,Industrials,Equity,"19,749,764.64",0.04,"19,749,764.64","537,418.00",36.75,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6750,AIA,AUCKLAND INTERNATIONAL AIRPORT LTD,Industrials,Equity,"19,744,740.70",0.04,"19,744,740.70","4,190,889.00",4.71,New Zealand,New Zealand Exchange Ltd,USD,1.61,NZD,-,EFA,20240612
6751,PSN,PERSIMMON PLC,Consumer Discretionary,Equity,"19,620,982.19",0.04,"19,620,982.19","1,020,063.00",19.23,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6752,BSL,BLUESCOPE STEEL LTD,Materials,Equity,"19,605,662.39",0.04,"19,605,662.39","1,426,935.00",13.74,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6753,4704,TREND MICRO INC,Information Technology,Equity,"19,589,602.36",0.04,"19,589,602.36","422,300.00",46.39,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6754,LI,KLEPIERRE REIT SA,Real Estate,Equity,"19,479,917.94",0.04,"19,479,917.94","675,112.00",28.85,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EFA,20240612
6755,TELIA,TELIA COMPANY,Communication,Equity,"19,381,545.30",0.04,"19,381,545.30","7,445,021.00",2.60,Sweden,Nasdaq Omx Nordic,USD,10.30,SEK,-,EFA,20240612
6756,9005,TOKYU CORP,Industrials,Equity,"19,290,310.99",0.04,"19,290,310.99","1,621,000.00",11.90,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6757,DHER,DELIVERY HERO,Consumer Discretionary,Equity,"19,262,429.68",0.04,"19,262,429.68","612,327.00",31.46,Germany,Xetra,USD,0.92,EUR,-,EFA,20240612
6758,UHR,THE SWATCH GROUP AG,Consumer Discretionary,Equity,"19,254,595.35",0.04,"19,254,595.35","90,522.00",212.71,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6759,SCHN,SCHINDLER HOLDING AG,Industrials,Equity,"19,246,193.74",0.04,"19,246,193.74","74,388.00",258.73,Switzerland,SIX Swiss Exchange,USD,0.89,CHF,-,EFA,20240612
6760,G24,SCOUT24 N,Communication,Equity,"19,224,304.52",0.04,"19,224,304.52","243,606.00",78.92,Germany,Xetra,USD,0.92,EUR,-,EFA,20240612
6761,7186,CONCORDIA FINANCIAL GROUP LTD,Financials,Equity,"19,217,538.43",0.04,"19,217,538.43","3,344,500.00",5.75,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6762,JMT,JERONIMO MARTINS SA,Consumer Staples,Equity,"19,201,324.40",0.04,"19,201,324.40","903,581.00",21.25,Portugal,Nyse Euronext - Euronext Lisbon,USD,0.92,EUR,-,EFA,20240612
6763,9042,HANKYU HANSHIN HOLDINGS INC,Industrials,Equity,"19,168,118.36",0.04,"19,168,118.36","722,200.00",26.54,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6764,3659,NEXON LTD,Communication,Equity,"19,105,760.78",0.04,"19,105,760.78","1,082,000.00",17.66,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6765,7701,SHIMADZU CORP,Information Technology,Equity,"19,053,453.58",0.03,"19,053,453.58","746,400.00",25.53,Japan,Tokyo Stock Exchange,USD,155.80,JPY,-,EFA,20240612
6766,ORK,ORKLA,Consumer Staples,Equity,"18,966,738.22",0.03,"18,966,738.22","2,282,954.00",8.31,Norway,Oslo Bors Asa,USD,10.50,NOK,-,EFA,20240612
6767,MNG,M&G PLC,Financials,Equity,"18,886,923.08",0.03,"18,886,923.08","7,213,766.00",2.62,United Kingdom,London Stock Exchange,USD,0.78,GBP,-,EFA,20240612
6768,RHC,RAMSAY HEALTH CARE LTD,Health Care,Equity,"18,883,355.30",0.03,"18,883,355.30","586,483.00",32.20,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6769,ORI,ORICA LTD,Materials,Equity,"18,840,709.24",0.03,"18,840,709.24","1,551,073.00",12.15,Australia,Asx - All Markets,USD,1.49,AUD,-,EFA,20240612
6770,S68,SINGAPORE EXCHANGE LTD,Financials,Equity,"18,822,485.59",0.03,"18,822,485.59","2,654,800.00",7.09,Singapore,Singapore Exchange,USD,1.34,SGD,-,EFA,20240612
